Product Description,Price_before_discount,Price_after_discount,Discount,Rating,Number of Reviews,Dispatchment
"Refurbished HP ELITEBOOK 820 12.5""Intel core i5 6th 8GB RAM 256GB SSD HP Laptop Notebook silver 12.5 inch","KSh 39,999","KSh 38,699",3.0,5,0,Local Dispatch
Refurbished HP SPECTRE 13X360 Intel core i5 8GB RAM 256GB SSD TOUCH HP Laptop Notebook black 13.3inch,"KSh 62,999","KSh 60,599",3.0,5,0,Local Dispatch
CHUWI Lapbook SE Laptop 13.3 inch with Windows 10,"KSh 64,218","KSh 54,218",15.0,5,2,Oversea Shipment
"Asus X543M Laptop Celeron Dual Core 15.6"" HD Laptop 4GM RAM 1TB HDD Windows 10 black 15.6 inch","KSh 39,999","KSh 32,899",17.0,5,0,Local Dispatch
Notebook computer 15.6 inch business office laptop Notebooks ONY1-j3455 8g+512g,"KSh 60,000","KSh 32,556",45.0,5,0,Oversea Shipment
"Lenovo Ideapad 330-15.6""-Intel Core i3-7020U-500GB HDD-4GB RAM-Win10 Installed Lenovo Laptop black one size","KSh 45,999","KSh 42,999",6.0,5,0,Local Dispatch
Hp Pavilion 14 x360 i5 8 gen 8GB 256GB SSD Touchscreen HP Laptop New Notebook PC Silver 14 inch,"KSh 80,000","KSh 71,999",10.0,5,0,Local Dispatch
"Hp 430 13.3"" i3 4GB Ram 320Gb HDD Hp Laptop Notebook PC Refurbished black 13.3inch","KSh 29,999","KSh 23,999",20.0,5,0,Local Dispatch
"Hp Elite x2 1012 12"" Win10 Touchscreen HP Laptop Notebook PC New black G1 Core M3 4GB 128GB SSD","KSh 80,000","KSh 56,999",28.0,5,0,Local Dispatch
"HP Laptop ProBook 440 G6 14"" Notebook i5 8GM RAM 256GB SSD New Laptops silver 14 inch","KSh 78,999","KSh 66,999",15.0,5,0,Local Dispatch
"Refurbished Hp Elitebook folio 9480m 14""Intel CORE I7 4GB RAM 320GB HDD HP Laptop Notebook silver 14 inch","KSh 35,999","KSh 32,999",8.0,5,0,Local Dispatch
"Hp 830 Laptop 13.3"" i5 8gen 8GB RAM 256GB SSD Touchscreen Win10 New Hp Laptop Notebook silver 13.3 inch","KSh 109,999","KSh 99,999",9.0,5,0,Local Dispatch
"DELL Lattitude E7440 Refurbished Laptop 14"" Touchscreen 4GB RAM 500GB HDD DELL Laptop Notebook PC black 14 inches","KSh 42,999","KSh 32,999",23.0,5,0,Local Dispatch
"Refurbished Hp ProBook 650 15.6""Intel core i5 4GB RAM 500GB HDD HP Laptop Notebook black & grey 15.6inch","KSh 35,999","KSh 31,999",11.0,5,0,Local Dispatch
"Hp Elitebook 1040 13.4"" i7 8Gen 8GB RAM 512GB SSD & Pen Touchscreen Win10 HP Laptop Notebook PC silver 14 inch","KSh 139,999","KSh 114,999",17.0,5,0,Local Dispatch
"HP Folio 9470m 14"" i5 4GB 500GB Win Installed HP Laptop Notebook PC Refurbished silver 14 inch","KSh 40,999","KSh 28,999",29.0,5,0,Local Dispatch
"Refurbished HP folio 13-2000 13""Intel core i5 4GB RAM 128GB SSD HP Laptop Notebook silver 13inch","KSh 31,999","KSh 28,999",9.0,5,0,Local Dispatch
Refurbished HP PROBOOK 430 Intel core i7 6th 4GB RAM 500GB HDD HP Laptop Notebook silver as picture,"KSh 36,999","KSh 35,999",2.0,5,0,Local Dispatch
"Refurbished Lenovo x240 12.5""Intel core i5 4GB RAM 500GB HDD Lenovo Laptop Notebook black 12.5inch","KSh 24,999","KSh 24,000",3.0,5,0,Local Dispatch
"Hp Pro x2 612 G2 M3 12.5"" 4GB 128GB SSD Touchscreen Win10 HP Laptop Notebook PC black 12.5 inch","KSh 69,000","KSh 53,999",21.0,5,0,Local Dispatch
"Hp 14 Laptop Celeron Dual Core 14"" 4GB RAM 500GB HDD HP Laptop Notebook PC black 14 inch","KSh 50,000","KSh 38,999",22.0,5,0,Local Dispatch
"Refurbished TOSHIBA PORTAGE 14""Intel core i5 4GB RAM 500GB HDD HP Laptop Notebook black 14 inch","KSh 26,699","KSh 25,599",4.0,5,0,Local Dispatch
"Refurbished HP PROBOOK 430 13.3"" core i3 4GB RAM 500GB HDD HP Laptop Notebook windows silver 13.3inch","KSh 39,999","KSh 38,899",2.0,5,0,Local Dispatch
"HP 310 Celeron Dual Core 11.6"" Touchscreen 4GB RAM 128GB SSD HP Laptop Notebook Refurbished black 11.6 inches","KSh 36,999","KSh 25,999",29.0,5,0,Local Dispatch
"Refurbished Hp Elitebook folio 13 13.3""Intel core i5 4GB RAM 128GB SSD HP Laptop Notebook silver 13.3inch","KSh 29,999","KSh 27,999",6.0,5,0,Local Dispatch
"hp Elitebook Folio 13 Refurbished Laptop 13.3"" Core i5 4GB RAM 128GB SSD Laptop Notebooks silver 13.3 inchs","KSh 36,999","KSh 25,999",29.0,5,0,Local Dispatch
"Hp Elitebook 1030 x360 13.3"" i7 8Gen 8GB RAM 512GB SSD & Pen Touchscreen Win10 HP Laptop Notebook PC silver 13.3 inch","KSh 129,999","KSh 112,999",13.0,5,0,Local Dispatch
"HP pro X2 Intel 12.5"" 4GB RAM 128GB SSD Touchscreen Detachable Keyboard HP Laptop Refurbished black 12.5inch","KSh 36,999","KSh 26,999",27.0,5,0,Local Dispatch
Refurbished HP Folio 13-2000 Core i5 2nd G1 4GB 128GB SSD No OS HP Laptop gold brown and black 13 inches,"KSh 35,000","KSh 26,599",24.0,5,0,Local Dispatch
"DELL Laptop Refurbished Lattitude E6430u 14"" i5 128GB 4GB Windows 10 pro black 14 inch","KSh 39,999","KSh 25,999",35.0,5,0,Local Dispatch
"Refurbished Hp Elitebook folio 1040 14""Intel core i5 8GB RAM 180GB SSD HP Laptop Notebook silver 14inch","KSh 45,999","KSh 41,999",8.0,5,0,Local Dispatch
"Refurbished HP ELITEBOOK 1020 12.5"" CORE M5 8GB RAM 256GB SSD HP Laptop Notebook windows silver 12.5 inch","KSh 61,999","KSh 60,599",2.0,5,0,Local Dispatch
Refurbished Lenovo Thinkpad T460sTouchscreen Core i5 12GB RAM DDR4 240GB SSD NO OS Lenovo Laptop black 14 inches,"KSh 61,000","KSh 56,999",6.0,5,0,Local Dispatch
"Refurbished LENOVO THINKPAD T440 14""Intel core i5 4GB RAM 500GB HDD HP Laptop Notebook black 14 inch","KSh 28,899","KSh 26,699",7.0,5,0,Local Dispatch
Lenovo Ideapad 130 Core i3 4GB 1TB Brand New OS Installed Lenovo laptop black 15.6 inch,"KSh 60,000","KSh 41,999",30.0,5,0,Local Dispatch
"HP 15 Notebook 15.6"" Laptop Intel Celeron (N3060) 4GB RAM 500GB HDD Windos 10 &FREE Bag+1TB Harddisk black 15.6 inch","KSh 48,999","KSh 37,999",22.0,5,0,Local Dispatch
"Refurbished HP Laptop x360 310 G2 11.6"" Celeron Dual Core 4GB RAM 128GB SSD Touchscreen Laptop black 11.6 inches","KSh 32,999","KSh 23,999",27.0,5,0,Local Dispatch
"HP Laptop Pavilion 14x360 14"" Intel Core i5 8GB RAM 1TB HDD + 256SSD Windows 10 REFURBRISHED Silver 14 Inch","KSh 79,999","KSh 74,899",6.0,5,0,Local Dispatch
